song,artist
Good As You,Kane Brown
Truth Hurts,Lizzo
Envy Me,Calboy
When The Party's Over,Billie Eilish
Beer Never Broke My Heart,Luke Combs
Beautiful Crazy,Luke Combs
Just Us,DJ Khaled Featuring SZA
You Stay,"DJ Khaled Featuring Meek Mill, J Balvin, Lil Baby & Jeremih"
Rumor,Lee Brice
A Lot,21 Savage
"Hey Look Ma, I Made It",Panic! At The Disco
Here With Me,Marshmello Featuring CHVRCHES
Look What God Gave Her,Thomas Rhett
Thotiana,Blueface
I Think,"Tyler, The Creator"
Celebrate,DJ Khaled Featuring Travis Scott & Post Malone
Homicide,Logic Featuring Eminem
Eyes On You,Chase Rice
Bury A Friend,Billie Eilish
Clout,Offset Featuring Cardi B
Jealous,"DJ Khaled Featuring Chris Brown, Lil Wayne & Big Sean"
Walk Me Home,P!nk
Close Friends,Lil Baby
Miss Me More,Kelsea Ballerini
Murder On My Mind,YNW Melly
Worth It,YK Osiris
Sanguine Paradise,Lil Uzi Vert
Put A Date On It,Yo Gotti Featuring Lil Baby
Running Out Of Time,"Tyler, The Creator"
Love Ain't,Eli Young Band
Igor's Theme,"Tyler, The Creator"
Cool,Jonas Brothers
GIRL,Maren Morris
New Magic Wand,"Tyler, The Creator"
Boy With Luv,BTS Featuring Halsey
Big Ole Freak,Megan Thee Stallion
Who Do You Love,The Chainsmokers Featuring 5 Seconds Of Summer
A Boy Is A Gun,"Tyler, The Creator"
Racks In The Middle,Nipsey Hussle Featuring Roddy Ricch & Hit-Boy
Soltera,"Lunay, Daddy Yankee & Bad Bunny"
Before I Let Go,Beyonce
Earth,Lil Dicky
Don't Call Me Up,Mabel
Someone You Loved,Lewis Capaldi
Knockin' Boots,Luke Bryan
Girls Need Love,Summer Walker X Drake
Love Someone,Brett Eldredge
Robbery,Juice WRLD
What's Good,"Tyler, The Creator"
What If I Never Get Over You,Lady Antebellum
Shotta Flow,NLE Choppa
Puppet,"Tyler, The Creator"
Talk You Out Of It,Florida Georgia Line
Night Shift,Jon Pardi
Weather The Storm,DJ Khaled Featuring Meek Mill & Lil Baby
Go Loko,"YG, Tyga & Jon Z"
All To Myself,Dan + Shay
Triggered,Jhene Aiko
On My Way To You,Cody Johnson
Calma,Pedro Capo X Farruko
24_7,Meek Mill Featuring Ella Mai
Here Tonight,Brett Young
Baila Baila Baila,Ozuna x Daddy Yankee x J Balvin x Farruko x Anuel AA
Te Robare,Nicky Jam X Ozuna
Old Town Road,Lil Nas X Featuring Billy Ray Cyrus
I Don't Care,Ed Sheeran & Justin Bieber
Sucker,Jonas Brothers
Bad Guy,Billie Eilish
Wow_,Post Malone
Sunflower (Spider-Man_ Into The Spider-Verse),Post Malone & Swae Lee
Dancing With A Stranger,Sam Smith & Normani
ME!,Taylor Swift Featuring Brendon Urie
Talk,Khalid
Without Me,Halsey
7 Rings,Ariana Grande
Sweet But Psycho,Ava Max
If I Can't Have You,Shawn Mendes
Middle Child,J_ Cole
"Break Up With Your Girlfriend, I'm Bored",Ariana Grande
Suge,DaBaby
Happier,Marshmello & Bastille
Going Bad,Meek Mill Featuring Drake
Eastside,"benny blanco, Halsey & Khalid"
High Hopes,Panic! At The Disco
Homicide,Logic Featuring Eminem
Shallow,Lady Gaga & Bradley Cooper
Better,Khalid
God's Country,Blake Shelton
Whiskey Glasses,Morgan Wallen
Pure Water,Mustard & Migos
Please Me,Cardi B & Bruno Mars
Look Back At It,A Boogie Wit da Hoodie
Beer Never Broke My Heart,Luke Combs
Con Calma,Daddy Yankee & Katy Perry Featuring Snow
Sicko Mode,Travis Scott
Girls Like You,Maroon 5 Featuring Cardi B
Act Up,City Girls
Pop Out,Polo G Featuring Lil Tjay
Envy Me,Calboy
Beautiful Crazy,Luke Combs
Here With Me,Marshmello Featuring CHVRCHES
A Lot,21 Savage
Good As You,Kane Brown
When The Party's Over,Billie Eilish
"Hey Look Ma, I Made It",Panic! At The Disco
Truth Hurts,Lizzo
Thotiana,Blueface
Be Alright,Dean Lewis
Eyes On You,Chase Rice
Drip Too Hard,Lil Baby & Gunna
Bury A Friend,Billie Eilish
Look What God Gave Her,Thomas Rhett
"Thank U, Next",Ariana Grande
Love Ain't,Eli Young Band
Triggered,Jhene Aiko
Murder On My Mind,YNW Melly
Rumor,Lee Brice
Walk Me Home,P!nk
Clout,Offset Featuring Cardi B
Close Friends,Lil Baby
Baby Shark,Pinkfong
Worth It,YK Osiris
Sanguine Paradise,Lil Uzi Vert
Who Do You Love,The Chainsmokers Featuring 5 Seconds Of Summer
Boy With Luv,BTS Featuring Halsey
Put A Date On It,Yo Gotti Featuring Lil Baby
Miss Me More,Kelsea Ballerini
Cool,Jonas Brothers
Big Ole Freak,Megan Thee Stallion
Don't Call Me Up,Mabel
Racks In The Middle,Nipsey Hussle Featuring Roddy Ricch & Hit-Boy
Night Shift,Jon Pardi
Earth,Lil Dicky
GIRL,Maren Morris
Before I Let Go,Beyonce
Girls Need Love,Summer Walker X Drake
Soltera,"Lunay, Daddy Yankee & Bad Bunny"
Here Tonight,Brett Young
Robbery,Juice WRLD
Calma,Pedro Capo X Farruko
Talk You Out Of It,Florida Georgia Line
Love Someone,Brett Eldredge
Go Loko,"YG, Tyga & Jon Z"
Make It Sweet,Old Dominion
Shotta Flow,NLE Choppa
Mixed Personalities,YNW Melly Featuring Kanye West
Knockin' Boots,Luke Bryan
24_7,Meek Mill Featuring Ella Mai
Someone You Loved,Lewis Capaldi
On My Way To You,Cody Johnson
Baila Baila Baila,Ozuna x Daddy Yankee x J Balvin x Farruko x Anuel AA
Shot Clock,Ella Mai
I'm So Tired___,Lauv & Troye Sivan
Ocean Eyes,Billie Eilish
Paradise,Bazzi
You Should See Me In A Crown,Billie Eilish
All To Myself,Dan + Shay
SOS,Avicii Featuring Aloe Blacc
Te Robare,Nicky Jam X Ozuna
Wish You Were Gay,Billie Eilish
That's A Rack,Lil Uzi Vert
Rule The World,2 Chainz Featuring Ariana Grande
Die Young,Roddy Ricch
Juice,Lizzo
Old Town Road,Lil Nas X Featuring Billy Ray Cyrus
If I Can't Have You,Shawn Mendes
ME!,Taylor Swift Featuring Brendon Urie
Sucker,Jonas Brothers
Homicide,Logic Featuring Eminem
Wow_,Post Malone
Sunflower (Spider-Man_ Into The Spider-Verse),Post Malone & Swae Lee
Without Me,Halsey
Bad Guy,Billie Eilish
7 Rings,Ariana Grande
Dancing With A Stranger,Sam Smith & Normani
Talk,Khalid
Sweet But Psycho,Ava Max
Middle Child,J_ Cole
"Break Up With Your Girlfriend, I'm Bored",Ariana Grande
Happier,Marshmello & Bastille
Going Bad,Meek Mill Featuring Drake
Eastside,"benny blanco, Halsey & Khalid"
Shallow,Lady Gaga & Bradley Cooper
High Hopes,Panic! At The Disco
Better,Khalid
Suge,DaBaby
Please Me,Cardi B & Bruno Mars
Pure Water,Mustard & Migos
Girls Like You,Maroon 5 Featuring Cardi B
Sicko Mode,Travis Scott
Look Back At It,A Boogie Wit da Hoodie
Whiskey Glasses,Morgan Wallen
Act Up,City Girls
A Lot,21 Savage
Con Calma,Daddy Yankee & Katy Perry Featuring Snow
Beautiful Crazy,Luke Combs
God's Country,Blake Shelton
Here With Me,Marshmello Featuring CHVRCHES
Envy Me,Calboy
Thotiana,Blueface
Be Alright,Dean Lewis
Eyes On You,Chase Rice
Pop Out,Polo G Featuring Lil Tjay
When The Party's Over,Billie Eilish
Drip Too Hard,Lil Baby & Gunna
Good As You,Kane Brown
Close To Me,Ellie Goulding X Diplo Featuring Swae Lee
Clout,Offset Featuring Cardi B
You Say,Lauren Daigle
Bury A Friend,Billie Eilish
Sanguine Paradise,Lil Uzi Vert
"Thank U, Next",Ariana Grande
Murder On My Mind,YNW Melly
Truth Hurts,Lizzo
Boy With Luv,BTS Featuring Halsey
Worth It,YK Osiris
Who Do You Love,The Chainsmokers Featuring 5 Seconds Of Summer
Close Friends,Lil Baby
Look What God Gave Her,Thomas Rhett
Night Shift,Jon Pardi
Rumor,Lee Brice
Walk Me Home,P!nk
"Hey Look Ma, I Made It",Panic! At The Disco
Love Ain't,Eli Young Band
Earth,Lil Dicky
Baby Shark,Pinkfong
Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine
Miss Me More,Kelsea Ballerini
Big Ole Freak,Megan Thee Stallion
Here Tonight,Brett Young
Before I Let Go,Beyonce
Beer Never Broke My Heart,Luke Combs
Don't Call Me Up,Mabel
Cool,Jonas Brothers
Go Loko,"YG, Tyga & Jon Z"
GIRL,Maren Morris
Racks In The Middle,Nipsey Hussle Featuring Roddy Ricch & Hit-Boy
Robbery,Juice WRLD
Girls Need Love,Summer Walker X Drake
Make It Sweet,Old Dominion
Calma,Pedro Capo X Farruko
Mixed Personalities,YNW Melly Featuring Kanye West
Talk You Out Of It,Florida Georgia Line
Put A Date On It,Yo Gotti Featuring Lil Baby
I'm So Tired___,Lauv & Troye Sivan
Shotta Flow,NLE Choppa
That's A Rack,Lil Uzi Vert
Knockin' Boots,Luke Bryan
24_7,Meek Mill Featuring Ella Mai
You Should See Me In A Crown,Billie Eilish
On My Way To You,Cody Johnson
Baila Baila Baila,Ozuna x Daddy Yankee x J Balvin x Farruko x Anuel AA
Love Someone,Brett Eldredge
Power Is Power,"SZA, The Weeknd & Travis Scott"
Middle Child,PnB Rock & XXXTENTACION
Shot Clock,Ella Mai
Ocean Eyes,Billie Eilish
Wish You Were Gay,Billie Eilish
I've Been Waiting,Lil Peep & iLoveMakonnen Featuring Fall Out Boy
All To Myself,Dan + Shay
Secreto,Anuel AA & Karol G
Paradise,Bazzi
Die Young,Roddy Ricch
Faucet Failure,Ski Mask The Slump God
Old Town Road,Lil Nas X Featuring Billy Ray Cyrus
ME!,Taylor Swift Featuring Brendon Urie
Wow_,Post Malone
Sucker,Jonas Brothers
Sunflower (Spider-Man_ Into The Spider-Verse),Post Malone & Swae Lee
7 Rings,Ariana Grande
Without Me,Halsey
Dancing With A Stranger,Sam Smith & Normani
Bad Guy,Billie Eilish
Talk,Khalid
Sweet But Psycho,Ava Max
Middle Child,J_ Cole
"Break Up With Your Girlfriend, I'm Bored",Ariana Grande
Happier,Marshmello & Bastille
Shallow,Lady Gaga & Bradley Cooper
Going Bad,Meek Mill Featuring Drake
Eastside,"benny blanco, Halsey & Khalid"
High Hopes,Panic! At The Disco
Please Me,Cardi B & Bruno Mars
Better,Khalid
Girls Like You,Maroon 5 Featuring Cardi B
A Lot,21 Savage
Pure Water,Mustard & Migos
Sicko Mode,Travis Scott
Thotiana,Blueface
Be Alright,Dean Lewis
Suge,DaBaby
Beautiful Crazy,Luke Combs
Look Back At It,A Boogie Wit da Hoodie
Act Up,City Girls
Here With Me,Marshmello Featuring CHVRCHES
Envy Me,Calboy
Whiskey Glasses,Morgan Wallen
God's Country,Blake Shelton
Con Calma,Daddy Yankee & Katy Perry Featuring Snow
Close To Me,Ellie Goulding X Diplo Featuring Swae Lee
Drip Too Hard,Lil Baby & Gunna
Eyes On You,Chase Rice
When The Party's Over,Billie Eilish
Boy With Luv,BTS Featuring Halsey
Earth,Lil Dicky
Sanguine Paradise,Lil Uzi Vert
You Say,Lauren Daigle
Murder On My Mind,YNW Melly
Bury A Friend,Billie Eilish
Good As You,Kane Brown
Clout,Offset Featuring Cardi B
"Thank U, Next",Ariana Grande
Walk Me Home,P!nk
Youngblood,5 Seconds Of Summer
Pop Out,Polo G Featuring Lil Tjay
Who Do You Love,The Chainsmokers Featuring 5 Seconds Of Summer
Look What God Gave Her,Thomas Rhett
Here Tonight,Brett Young
Baby Shark,Pinkfong
Close Friends,Lil Baby
Worth It,YK Osiris
Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine
Night Shift,Jon Pardi
Love Ain't,Eli Young Band
Rumor,Lee Brice
Miss Me More,Kelsea Ballerini
Racks In The Middle,Nipsey Hussle Featuring Roddy Ricch & Hit-Boy
Make It Sweet,Old Dominion
Before I Let Go,Beyonce
"Hey Look Ma, I Made It",Panic! At The Disco
Floating,ScHoolboy Q Featuring 21 Savage
Robbery,Juice WRLD
Baila Baila Baila,Ozuna x Daddy Yankee x J Balvin x Farruko x Anuel AA
Big Ole Freak,Megan Thee Stallion
Don't Call Me Up,Mabel
Cool,Jonas Brothers
Calma,Pedro Capo X Farruko
Girls Need Love,Summer Walker X Drake
GIRL,Maren Morris
Mixed Personalities,YNW Melly Featuring Kanye West
That's A Rack,Lil Uzi Vert
I've Been Waiting,Lil Peep & iLoveMakonnen Featuring Fall Out Boy
Wish You Were Gay,Billie Eilish
You Should See Me In A Crown,Billie Eilish
Put A Date On It,Yo Gotti Featuring Lil Baby
Talk You Out Of It,Florida Georgia Line
I'm So Tired___,Lauv & Troye Sivan
On My Way To You,Cody Johnson
CHopstix,ScHoolboy Q + Travis Scott
Shotta Flow,NLE Choppa
Shot Clock,Ella Mai
Ocean Eyes,Billie Eilish
Secreto,Anuel AA & Karol G
Light It Up,"Marshmello, Tyga & Chris Brown"
Love Someone,Brett Eldredge
Power Is Power,"SZA, The Weeknd & Travis Scott"
Faucet Failure,Ski Mask The Slump God
Knockin' Boots,Luke Bryan
Numb Numb Juice,ScHoolboy Q
Love Me Anyway,P!nk Featuring Chris Stapleton
24_7,Meek Mill Featuring Ella Mai
Stop Snitching,YG
SOS,Avicii Featuring Aloe Blacc
Kill This Love,BLACKPINK
Old Town Road,Lil Nas X Featuring Billy Ray Cyrus
Wow_,Post Malone
Sunflower (Spider-Man_ Into The Spider-Verse),Post Malone & Swae Lee
7 Rings,Ariana Grande
Sucker,Jonas Brothers
Without Me,Halsey
Dancing With A Stranger,Sam Smith & Normani
Talk,Khalid
Bad Guy,Billie Eilish
Middle Child,J_ Cole
Sweet But Psycho,Ava Max
Happier,Marshmello & Bastille
Please Me,Cardi B & Bruno Mars
"Break Up With Your Girlfriend, I'm Bored",Ariana Grande
Shallow,Lady Gaga & Bradley Cooper
Going Bad,Meek Mill Featuring Drake
Earth,Lil Dicky
Eastside,"benny blanco, Halsey & Khalid"
Better,Khalid
High Hopes,Panic! At The Disco
Thotiana,Blueface
Girls Like You,Maroon 5 Featuring Cardi B
Pure Water,Mustard & Migos
A Lot,21 Savage
Sicko Mode,Travis Scott
Beautiful Crazy,Luke Combs
Be Alright,Dean Lewis
Look Back At It,A Boogie Wit da Hoodie
Close To Me,Ellie Goulding X Diplo Featuring Swae Lee
Act Up,City Girls
Envy Me,Calboy
Sanguine Paradise,Lil Uzi Vert
Drip Too Hard,Lil Baby & Gunna
Con Calma,Daddy Yankee & Katy Perry Featuring Snow
Murder On My Mind,YNW Melly
Bury A Friend,Billie Eilish
Here With Me,Marshmello Featuring CHVRCHES
When The Party's Over,Billie Eilish
Clout,Offset Featuring Cardi B
Boy With Luv,BTS Featuring Halsey
"Thank U, Next",Ariana Grande
Better Now,Post Malone
God's Country,Blake Shelton
Eyes On You,Chase Rice
You Say,Lauren Daigle
Suge,DaBaby
Baby Shark,Pinkfong
Whiskey Glasses,Morgan Wallen
Here Tonight,Brett Young
Youngblood,5 Seconds Of Summer
Racks In The Middle,Nipsey Hussle Featuring Roddy Ricch & Hit-Boy
Good As You,Kane Brown
Look What God Gave Her,Thomas Rhett
Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine
Who Do You Love,The Chainsmokers Featuring 5 Seconds Of Summer
Make It Sweet,Old Dominion
Close Friends,Lil Baby
Worth It,YK Osiris
Miss Me More,Kelsea Ballerini
Pop Out,Polo G Featuring Lil Tjay
Night Shift,Jon Pardi
Walk Me Home,P!nk
Mixed Personalities,YNW Melly Featuring Kanye West
I've Been Waiting,Lil Peep & iLoveMakonnen Featuring Fall Out Boy
You Should See Me In A Crown,Billie Eilish
Robbery,Juice WRLD
Rumor,Lee Brice
Love Ain't,Eli Young Band
Cool,Jonas Brothers
Don't Call Me Up,Mabel
Calma,Pedro Capo X Farruko
Girls Need Love,Summer Walker X Drake
Wish You Were Gay,Billie Eilish
GIRL,Maren Morris
Before I Let Go,Beyonce
Big Ole Freak,Megan Thee Stallion
Put A Date On It,Yo Gotti Featuring Lil Baby
Talk You Out Of It,Florida Georgia Line
Shot Clock,Ella Mai
"Hey Look Ma, I Made It",Panic! At The Disco
I'm So Tired___,Lauv & Troye Sivan
That's A Rack,Lil Uzi Vert
Secreto,Anuel AA & Karol G
Ocean Eyes,Billie Eilish
Bad Liar,Imagine Dragons
Kill This Love,BLACKPINK
SOS,Avicii Featuring Aloe Blacc
Faucet Failure,Ski Mask The Slump God
On My Way To You,Cody Johnson
Slide,French Montana Featuring Blueface & Lil Tjay
Saturday Nights,Khalid & Kane Brown
Pure Cocaine,Lil Baby
Love Someone,Brett Eldredge
This Is It,Scotty McCreery
My Strange Addiction,Billie Eilish
Shotta Flow,NLE Choppa
Let Me Down Slowly,Alec Benjamin + Alessia Cara
Xanny,Billie Eilish
One That Got Away,Michael Ray
ME!,Taylor Swift Featuring Brendon Urie
Old Town Road,Lil Nas X Featuring Billy Ray Cyrus
Wow_,Post Malone
Sunflower (Spider-Man_ Into The Spider-Verse),Post Malone & Swae Lee
7 Rings,Ariana Grande
Without Me,Halsey
Sucker,Jonas Brothers
Dancing With A Stranger,Sam Smith & Normani
Boy With Luv,BTS Featuring Halsey
Bad Guy,Billie Eilish
Please Me,Cardi B & Bruno Mars
Middle Child,J_ Cole
Happier,Marshmello & Bastille
Sweet But Psycho,Ava Max
Thotiana,Blueface
Going Bad,Meek Mill Featuring Drake
Shallow,Lady Gaga & Bradley Cooper
Better,Khalid
"Break Up With Your Girlfriend, I'm Bored",Ariana Grande
Eastside,"benny blanco, Halsey & Khalid"
Talk,Khalid
High Hopes,Panic! At The Disco
A Lot,21 Savage
Girls Like You,Maroon 5 Featuring Cardi B
Beautiful Crazy,Luke Combs
Close To Me,Ellie Goulding X Diplo Featuring Swae Lee
Sicko Mode,Travis Scott
Racks In The Middle,Nipsey Hussle Featuring Roddy Ricch & Hit-Boy
Sanguine Paradise,Lil Uzi Vert
Murder On My Mind,YNW Melly
Be Alright,Dean Lewis
Bury A Friend,Billie Eilish
Drip Too Hard,Lil Baby & Gunna
Pure Water,Mustard & Migos
"Thank U, Next",Ariana Grande
Envy Me,Calboy
Act Up,City Girls
Look Back At It,A Boogie Wit da Hoodie
When The Party's Over,Billie Eilish
Better Now,Post Malone
You Say,Lauren Daigle
Here With Me,Marshmello Featuring CHVRCHES
Here Tonight,Brett Young
Baby Shark,Pinkfong
Eyes On You,Chase Rice
MIA,Bad Bunny Featuring Drake
God's Country,Blake Shelton
Youngblood,5 Seconds Of Summer
Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine
Tequila,Dan + Shay
Money,Cardi B
Suge,DaBaby
Who Do You Love,The Chainsmokers Featuring 5 Seconds Of Summer
Look What God Gave Her,Thomas Rhett
Good As You,Kane Brown
Whiskey Glasses,Morgan Wallen
Con Calma,Daddy Yankee & Katy Perry Featuring Snow
Make It Sweet,Old Dominion
Close Friends,Lil Baby
Mixed Personalities,YNW Melly Featuring Kanye West
Worth It,YK Osiris
Robbery,Juice WRLD
I've Been Waiting,Lil Peep & iLoveMakonnen Featuring Fall Out Boy
Miss Me More,Kelsea Ballerini
Wish You Were Gay,Billie Eilish
You Should See Me In A Crown,Billie Eilish
Blue On Black,"Five Finger Death Punch Featuring Kenny Wayne Shepherd, Brantley Gilbert & Brian May"
Don't Call Me Up,Mabel
SOS,Avicii Featuring Aloe Blacc
Rumor,Lee Brice
Night Shift,Jon Pardi
Walk Me Home,P!nk
Clout,Offset Featuring Cardi B
Kill This Love,BLACKPINK
Pop Out,Polo G Featuring Lil Tjay
Cool,Jonas Brothers
That's A Rack,Lil Uzi Vert
Girls Need Love,Summer Walker X Drake
Shot Clock,Ella Mai
GIRL,Maren Morris
Bad Liar,Imagine Dragons
Love Ain't,Eli Young Band
Double Up,Nipsey Hussle Featuring Belly & DOM KENNEDY
Undrunk,FLETCHER
Big Ole Freak,Megan Thee Stallion
Put A Date On It,Yo Gotti Featuring Lil Baby
Saturday Nights,Khalid & Kane Brown
One That Got Away,Michael Ray
My Strange Addiction,Billie Eilish
Faucet Failure,Ski Mask The Slump God
Xanny,Billie Eilish
Ocean Eyes,Billie Eilish
Last Time That I Checc'd,Nipsey Hussle Featuring YG
Talk You Out Of It,Florida Georgia Line
I'm So Tired___,Lauv & Troye Sivan
Make It Right,BTS Featuring Lauv
"Hey Look Ma, I Made It",Panic! At The Disco
This Is It,Scotty McCreery
There Was This Girl,Riley Green
Let Me Down Slowly,Alec Benjamin + Alessia Cara
On My Way To You,Cody Johnson
Old Town Road,Lil Nas X Featuring Billy Ray Cyrus
Sunflower (Spider-Man_ Into The Spider-Verse),Post Malone & Swae Lee
Wow_,Post Malone
7 Rings,Ariana Grande
Without Me,Halsey
Sucker,Jonas Brothers
Please Me,Cardi B & Bruno Mars
Better,Khalid
Middle Child,J_ Cole
Happier,Marshmello & Bastille
Bad Guy,Billie Eilish
Dancing With A Stranger,Sam Smith & Normani
Shallow,Lady Gaga & Bradley Cooper
Eastside,"benny blanco, Halsey & Khalid"
Going Bad,Meek Mill Featuring Drake
Sweet But Psycho,Ava Max
Thotiana,Blueface
Talk,Khalid
"Break Up With Your Girlfriend, I'm Bored",Ariana Grande
High Hopes,Panic! At The Disco
Beautiful Crazy,Luke Combs
A Lot,21 Savage
Girls Like You,Maroon 5 Featuring Cardi B
Close To Me,Ellie Goulding X Diplo Featuring Swae Lee
Sicko Mode,Travis Scott
Racks In The Middle,Nipsey Hussle Featuring Roddy Ricch & Hit-Boy
Cool,Jonas Brothers
Murder On My Mind,YNW Melly
Be Alright,Dean Lewis
Bury A Friend,Billie Eilish
"Thank U, Next",Ariana Grande
Drip Too Hard,Lil Baby & Gunna
Pure Water,Mustard & Migos
Envy Me,Calboy
You Say,Lauren Daigle
Look Back At It,A Boogie Wit da Hoodie
Better Now,Post Malone
Tequila,Dan + Shay
When The Party's Over,Billie Eilish
Act Up,City Girls
Kill This Love,BLACKPINK
Baby Shark,Pinkfong
Youngblood,5 Seconds Of Summer
Money,Cardi B
Here Tonight,Brett Young
Here With Me,Marshmello Featuring CHVRCHES
MIA,Bad Bunny Featuring Drake
Look What God Gave Her,Thomas Rhett
God's Country,Blake Shelton
Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine
Wish You Were Gay,Billie Eilish
Eyes On You,Chase Rice
Good As You,Kane Brown
Who Do You Love,The Chainsmokers Featuring 5 Seconds Of Summer
My Bad,Khalid
Mixed Personalities,YNW Melly Featuring Kanye West
Saturday Nights,Khalid & Kane Brown
Outta My Head,Khalid With John Mayer
Robbery,Juice WRLD
Make It Sweet,Old Dominion
Worth It,YK Osiris
Whiskey Glasses,Morgan Wallen
Suge,DaBaby
Con Calma,Daddy Yankee & Katy Perry Featuring Snow
Close Friends,Lil Baby
Miss Me More,Kelsea Ballerini
I've Been Waiting,Lil Peep & iLoveMakonnen Featuring Fall Out Boy
You Should See Me In A Crown,Billie Eilish
Monopoly,Ariana Grande & Victoria Monet
There Was This Girl,Riley Green
My Strange Addiction,Billie Eilish
Shot Clock,Ella Mai
Walk Me Home,P!nk
Bad Liar,Imagine Dragons
Double Up,Nipsey Hussle Featuring Belly & DOM KENNEDY
Last Time That I Checc'd,Nipsey Hussle Featuring YG
Undrunk,FLETCHER
Rumor,Lee Brice
Night Shift,Jon Pardi
Don't Call Me Up,Mabel
Girls Need Love,Summer Walker X Drake
GIRL,Maren Morris
Put A Date On It,Yo Gotti Featuring Lil Baby
Don't Pretend,Khalid x SAFE
Calma,Pedro Capo X Farruko
Xanny,Billie Eilish
Bad Luck,Khalid
One That Got Away,Michael Ray
Pop Out,Polo G Featuring Lil Tjay
This Is It,Scotty McCreery
Faucet Failure,Ski Mask The Slump God
All The Good Girls Go To Hell,Billie Eilish
Right Back,Khalid Featuring A Boogie Wit da Hoodie
Talk You Out Of It,Florida Georgia Line
Inmortal,Aventura
Ocean Eyes,Billie Eilish
Dedication,Nipsey Hussle Featuring Kendrick Lamar
Let Me Down Slowly,Alec Benjamin + Alessia Cara
Big Ole Freak,Megan Thee Stallion
Victory Lap,Nipsey Hussle Featuring Stacy Barthe
Old Town Road,Lil Nas X Featuring Billy Ray Cyrus
Sunflower (Spider-Man_ Into The Spider-Verse),Post Malone & Swae Lee
7 Rings,Ariana Grande
Wow_,Post Malone
Without Me,Halsey
Please Me,Cardi B & Bruno Mars
Bad Guy,Billie Eilish
Sucker,Jonas Brothers
Happier,Marshmello & Bastille
Middle Child,J_ Cole
Shallow,Lady Gaga & Bradley Cooper
Eastside,"benny blanco, Halsey & Khalid"
Thotiana,Blueface
Going Bad,Meek Mill Featuring Drake
Dancing With A Stranger,Sam Smith & Normani
Better,Khalid
High Hopes,Panic! At The Disco
"Break Up With Your Girlfriend, I'm Bored",Ariana Grande
Sweet But Psycho,Ava Max
Sicko Mode,Travis Scott
Murder On My Mind,YNW Melly
A Lot,21 Savage
Girls Like You,Maroon 5 Featuring Cardi B
"Thank U, Next",Ariana Grande
Bury A Friend,Billie Eilish
Beautiful Crazy,Luke Combs
Close To Me,Ellie Goulding X Diplo Featuring Swae Lee
Be Alright,Dean Lewis
When The Party's Over,Billie Eilish
Drip Too Hard,Lil Baby & Gunna
Wish You Were Gay,Billie Eilish
You Say,Lauren Daigle
Pure Water,Mustard & Migos
Better Now,Post Malone
Xanny,Billie Eilish
Money,Cardi B
Look Back At It,A Boogie Wit da Hoodie
Envy Me,Calboy
Talk,Khalid
Youngblood,5 Seconds Of Summer
You Should See Me In A Crown,Billie Eilish
Baby Shark,Pinkfong
My Strange Addiction,Billie Eilish
Racks In The Middle,Nipsey Hussle Featuring Roddy Ricch & Hit-Boy
MIA,Bad Bunny Featuring Drake
All The Good Girls Go To Hell,Billie Eilish
Act Up,City Girls
Robbery,Juice WRLD
ZEZE,Kodak Black Featuring Travis Scott & Offset
Tequila,Dan + Shay
Here Tonight,Brett Young
Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine
I Love You,Billie Eilish
Mixed Personalities,YNW Melly Featuring Kanye West
Here With Me,Marshmello Featuring CHVRCHES
Who Do You Love,The Chainsmokers Featuring 5 Seconds Of Summer
Put A Date On It,Yo Gotti Featuring Lil Baby
Con Calma,Daddy Yankee & Katy Perry Featuring Snow
God's Country,Blake Shelton
Worth It,YK Osiris
Eyes On You,Chase Rice
Ilomilo,Billie Eilish
Listen Before I Go,Billie Eilish
Close Friends,Lil Baby
Double Up,Nipsey Hussle Featuring Belly & DOM KENNEDY
Bad Liar,Imagine Dragons
Whiskey Glasses,Morgan Wallen
Good As You,Kane Brown
One That Got Away,Michael Ray
Monopoly,Ariana Grande & Victoria Monet
Miss Me More,Kelsea Ballerini
Shot Clock,Ella Mai
Make It Sweet,Old Dominion
Look What God Gave Her,Thomas Rhett
There Was This Girl,Riley Green
Girls Need Love,Summer Walker X Drake
Undrunk,FLETCHER
I've Been Waiting,Lil Peep & iLoveMakonnen Featuring Fall Out Boy
8,Billie Eilish
Walk Me Home,P!nk
Saturday Nights,Khalid & Kane Brown
Last Time That I Checc'd,Nipsey Hussle Featuring YG
Twerk,City Girls Featuring Cardi B
GIRL,Maren Morris
Lovely,Billie Eilish & Khalid
Calma,Pedro Capo X Farruko
Suge,DaBaby
Night Shift,Jon Pardi
This Is It,Scotty McCreery
Rumor,Lee Brice
I Can't Get Enough,"benny blanco, Tainy, Selena Gomez & J Balvin"
Don't Call Me Up,Mabel
Dedication,Nipsey Hussle Featuring Kendrick Lamar
Ocean Eyes,Billie Eilish
Millionaire,Chris Stapleton
Talk You Out Of It,Florida Georgia Line
Faucet Failure,Ski Mask The Slump God
Girl Like You,Jason Aldean
Pure Cocaine,Lil Baby
Pop Out,Polo G Featuring Lil Tjay
7 Rings,Ariana Grande
Wow_,Post Malone
